Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
DRUMMOND POWER S.A.S .ES.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,58169915,ND,ND,ND,58169915
ELECTRIFICADORA DEL CAQUETA S.A. E.S.P,factura promedio,98292.56,116918.7,131960.71,222579.77,ND,ND,106720.28,4383707.55,571556.43,2341394.29,49176733.24,843016.86
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,factura promedio,90671.3,113087.32,124293.73,192749.32,276332.87,252538.44,111703.35,2797448.78,495592.74,1197535.17,1608800.64,642743.32
ELECTRIFICADORA DEL META S.A. E.S.P.,factura promedio,104386.57,108313.5,120443.88,151510.86,180082.24,249523.89,114026.55,7382403.15,362560.26,2196222.4,1653642.96,586783.73
ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,factura promedio,112242.5,119626.34,120487.39,141110.97,166291.67,201552.57,123948.65,1035316.84,457625.02,1458349.28,8806757.49,595349.07
EMPRESA DE ENERGIA DE ARAUCA,factura promedio,67462.68,129519.74,135550.58,240099.56,ND,ND,92947.13,3574601.08,275040.66,2616374.4,820346.28,529779.82
EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS,factura promedio,84858.82,92245.6,87591.27,80226.38,89396.7,209744.81,89282.28,2479522.77,306142.07,806801.36,2403957.45,480448.87
EMPRESA DE ENERGIA DE CASANARE SA ESP,factura promedio,94096.27,109380.95,123409.18,160116.34,326458.58,ND,108316.52,4686404.17,456868.29,1720358.28,4058197.12,689733.48
EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,factura promedio,117936.2,142955.07,183424.48,ND,ND,ND,127539.22,1222515.43,370784.77,1253849.76,6814084.64,491507.4
EMPRESA DE ENERGIA DEL PUTUMAYO S.A. ESP,factura promedio,73678.3,94131.5,92146.82,ND,ND,ND,78787.31,127685.21,266464.35,878278.21,2566701.68,342535.71
EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,factura promedio,88741.42,97204.29,100643.01,101471.63,108951.19,160777.7,98166.56,1336441.68,408834.6,821951.84,2538198.87,533693.95
EMPRESA DE ENERGIA DEL VALLE DE SIBUNDOY S.A. E.S.P. ,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE SA ESP,factura promedio,121182.88,148930.02,188777.01,168558.73,ND,ND,137789.43,2806548.07,439420.71,2309012.62,157347.62,562820.35
EMPRESA DE SERVICIOS PUBLICOS DEL OCCIDENTE COLOMBIANO S.A.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P,factura promedio,92430.98,119036.46,150260.33,ND,ND,ND,95836.9,348797.64,525180.87,2116407.69,2196755.88,781030.32
EMPRESA MUNICIPAL DE ENERGÍA ELÉCTRICA S.A-E.S.P,factura promedio,12936.03,35564.46,148631.94,97679.88,ND,ND,52150.89,9513817.92,2971060.18,423855.87,ND,3943127.26
EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,factura promedio,120678.29,126302.48,122004.76,119843.5,157150.88,274270.23,130575.79,6370413.15,923857.6,9929119.73,813855400.25,1470663.07
EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,factura promedio,95338.48,106303.79,116574.51,134854.02,159826.87,236754.6,115452.8,7031549.4,723038.9,2560703.08,6081188.46,1360701.96
ENEL COLOMBIA S.A. E.S.P.,factura promedio,100775.94,113602.47,102645.92,108335.61,138984.98,192827.65,110964.51,2344379.92,566262.79,3424505.98,107450817.19,882657.12
Enel X Colombia S.A.S. ESP,factura promedio,ND,5454161,ND,ND,ND,ND,5454161,30713119.94,15217752.06,20627812,ND,19022429.76
ENERBIT S.A.S E.S.P.,factura promedio,10345.12,132285.4,47391.49,73744.71,193739.57,376817.35,119815.24,3643959.38,1695971.25,7550264,ND,1896115.35
ENERMAS S.A.S E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ENERTOTAL S.A. E.S.P.,factura promedio,76232.82,205985.26,210301.57,113785.1,138959.25,280327.78,153155.96,6397943.08,2052592.41,8101128.16,ND,3069574.22
ENERXIA COLOMBIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
FRANCA ENERGIA SA ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,1045820140,ND,ND,ND,1045820140
FUENTES DE ENERGÍAS RENOVABLES S.A.S. ESP,factura promedio,ND,ND,15240181,ND,ND,ND,15240181,40995438.57,48704066,17209453,ND,41833616.53
GAP ENERGY GROUP S.A.S ESP ,factura promedio,ND,ND,ND,ND,ND,ND,ND,231160089.9,ND,ND,ND,231160089.9
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A E.S.P,factura promedio,ND,326016529,ND,ND,ND,ND,326016529,740569068.2,1221613194.86,786856237,ND,839248444.92
GENERSA S.A.S E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
GREENYELLOW COMERCIALIZADORA SAS ESP,factura promedio,ND,30369256,ND,ND,ND,ND,30369256,35122481,35315058.71,32136276,ND,35180897.43
ISAGEN S.A. E.S.P.,factura promedio,ND,108406620.33,ND,ND,ND,ND,108406620.33,305773005.56,299022372.18,ND,ND,304910142.65
ITALCOL ENERGIA S.A. ESP.,factura promedio,ND,ND,ND,ND,ND,ND,ND,227324497,94814410,608857816,ND,226181858.29
MESSER ENERGY SERVICES SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,1719545512,20671471,ND,ND,870108491.5
NEU ENERGY SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
PROFESIONALES EN ENERGÍA S.A E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
QI ENERGY SAS ESP,factura promedio,ND,ND,356575,537451.43,ND,212783.33,465426.96,8420816.78,3012599.34,22282422.31,63216474,3851571.54
RIOPAILA ENERGÍA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
RUITOQUE S.A. E.S.P.,factura promedio,ND,ND,ND,174742.24,153497.32,232743.88,170601.96,36090659.68,5906910.12,74396901.32,ND,10021840.3
SOL & CIELO ENERGIA SAS ESP,factura promedio,3229210.67,1097107.43,463261.06,570723.75,229880.45,767151.95,762520.26,2739231.21,2433042.67,525638.95,ND,1738089.07
TERMOPIEDRAS S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
TERPEL ENERGIA S.A.S E.S.P,factura promedio,ND,10282809,ND,ND,ND,ND,10282809,306252397.8,24719301.56,ND,ND,31864811.62
Transacciones Energeticas S.A.S Empresa de Servicios Públicos E.S.P,factura promedio,ND,12779218.08,29377574.4,ND,ND,ND,17661087.59,23134739.5,13872003.05,14391189.14,ND,14535102.86
VATIA S.A.S. E.S.P.,factura promedio,2603049.22,134077.51,104706.55,124842.44,127659.06,151919.48,128761.46,2824778.53,3014468.3,7424978.61,3561903.08,2975066.85
VOLTAJE EMPRESARIAL SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
,,,,,,,,,,,,,
Año,2025
Período,Enero
Ubicación,Urbano
Reporte a Consultar,Factura Promedio
