Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
RUITOQUE S.A. E.S.P.,factura promedio,ND,ND,ND,164007.73,139447.98,214708.72,156340.97,65388974.96,5256297.27,72043232.7,ND,11649761.38
SOL & CIELO ENERGIA SAS ESP,factura promedio,6256684.67,1559439.43,916282,973331.11,394979.45,1204531.05,1270497.84,11727770.93,4451514.29,2503138.79,ND,4138545.65
TERMOPIEDRAS S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
TERPEL ENERGIA S.A.S E.S.P,factura promedio,ND,6598060,ND,ND,ND,ND,6598060,8138305,21005687.8,ND,ND,20680753.89
Transacciones Energeticas S.A.S Empresa de Servicios Públicos E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
VATIA S.A.S. E.S.P.,factura promedio,3475798.22,66341.35,129837.21,152325.07,189867.58,331950.73,194835.01,3396230.46,3671383.97,11044037.24,2737501.24,3611200.38
VOLTAJE EMPRESARIAL SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
,,,,,,,,,,,,,
Año,2025
Período,Marzo
Ubicación,Urbano
Reporte a Consultar,Factura Promedio
