Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA MUNICIPAL DE ENERGÍA ELÉCTRICA S.A-E.S.P,factura promedio,31796.59,64140.43,152856.69,85833.51,ND,ND,66936.07,9067367.04,2824404.76,467973.65,ND,3595010.08
EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,factura promedio,118599.49,110081.84,106469.85,103524.53,139267.18,252980.2,116748.07,6438908.95,835762.49,12856344.3,902054607.12,1457421.87
EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,factura promedio,94533.54,102682.53,110807.88,128436.92,152078.73,221328.36,111008.02,7708434.53,693289.83,2847873.4,8428059.15,1406051.07
ENEL COLOMBIA S.A. E.S.P.,factura promedio,99440.16,110833.18,101632.15,107805.97,141042.01,201347.23,109722.07,2469596.79,548386.55,3235633.22,96675670.27,875554.14
Enel X Colombia S.A.S. ESP,factura promedio,ND,4870968.5,2741351,ND,14931247,ND,6853633.75,27168987.05,9565577.49,11744768.06,ND,13230972.74
ENERBIT S.A.S E.S.P.,factura promedio,51277.48,37810.6,51516.5,54181.75,77257.68,319244.56,66011.93,3036536.07,2009338.73,ND,ND,2095745.46
ENERCO S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ENERMAS S.A.S E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ENERTOTAL S.A. E.S.P.,factura promedio,0,24453.97,0,0,0,0,2992.65,6028683.15,604403.23,1810593.61,ND,1711557.38
ENERXIA COLOMBIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
FRANCA ENERGIA SA ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,1282810135,ND,ND,ND,1282810135
FUENTES DE ENERGÍAS RENOVABLES S.A.S. ESP,factura promedio,ND,ND,15370949,ND,ND,ND,15370949,59526077,61192649.5,16740400,ND,58615348.06
GAP ENERGY GROUP S.A.S ESP ,factura promedio,ND,ND,ND,ND,ND,ND,ND,234461828.8,ND,ND,ND,234461828.8
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
GENERSA S.A.S E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
GREENYELLOW COMERCIALIZADORA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ISAGEN S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,344367082.47,322261900.06,ND,ND,339271826.99
ITALCOL ENERGIA S.A. ESP.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
MESSER ENERGY SERVICES SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,1785442113,18913505,ND,ND,902177809
NEU ENERGY SAS ESP,factura promedio,5838115.67,5250771.12,8983205.62,8025901.53,2329483.91,1419508.36,4449899.95,13287070.08,6912796.33,10564221.3,ND,8818478.47
PROFESIONALES EN ENERGÍA S.A E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
QI ENERGY SAS ESP,factura promedio,ND,194407,313023.5,422187.26,154734.5,210125.5,378604.05,6014307.83,1699308.59,19954809.39,12745236.5,2550692.52
RIOPAILA ENERGÍA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
RUITOQUE S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SOL & CIELO ENERGIA SAS ESP,factura promedio,5426712,1478513.43,981336,948150.4,503980,912343.9,1163048.41,20762531.29,4508612.17,3076260.16,ND,4421594.13
TERMOPIEDRAS S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
TERPEL ENERGIA S.A.S E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,23292263.06,ND,ND,23292263.06
Transacciones Energeticas S.A.S Empresa de Servicios Públicos E.S.P,factura promedio,ND,10920296.15,19549351.8,ND,ND,ND,13317256.06,17024126.73,10812470.02,24214905.78,ND,11771481.3
VATIA S.A.S. E.S.P.,factura promedio,2093058.1,97010.67,158139.19,179287.44,227915.54,415125.52,226674.46,9466006.22,3750567.8,10291480.98,3717287.54,4480398.86
VOLTAJE EMPRESARIAL SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
,,,,,,,,,,,,,
Año,2025
Período,Diciembre
Ubicación,Urbano
Reporte a Consultar,Factura Promedio
