Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
ENERXIA COLOMBIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
FRANCA ENERGIA SA ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,1043068484,ND,ND,ND,1043068484
FUENTES DE ENERGÍAS RENOVABLES S.A.S. ESP,factura promedio,ND,ND,15596030,ND,ND,ND,15596030,60677946.48,55327879.43,14657259,ND,58293056.29
GAP ENERGY GROUP S.A.S ESP ,factura promedio,ND,ND,ND,ND,ND,ND,ND,260395149.6,ND,ND,ND,260395149.6
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A E.S.P,factura promedio,ND,73596580,ND,ND,ND,ND,73596580,879022853.36,695297073.71,504106955.75,ND,801641074.25
GENERSA S.A.S E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
GREENYELLOW COMERCIALIZADORA SAS ESP,factura promedio,ND,34480984,ND,ND,ND,ND,34480984,31618367.67,34906185.33,30617928,ND,34400767.11
ISAGEN S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,425725387.28,378956914.12,115413851,ND,418109508.81
ITALCOL ENERGIA S.A. ESP.,factura promedio,ND,ND,ND,ND,ND,ND,ND,16964056.7,4724975,36372590,ND,15727720.14
MESSER ENERGY SERVICES SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,1844732530,21472351,ND,ND,933102440.5
NEU ENERGY SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
PROFESIONALES EN ENERGÍA S.A E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
QI ENERGY SAS ESP,factura promedio,ND,188756,17275.14,576766.63,191689.5,473921,480639.09,7069291.81,2511662.16,22774410.34,40421750.33,3343698.41
RIOPAILA ENERGÍA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
RUITOQUE S.A. E.S.P.,factura promedio,ND,ND,ND,179023.99,168445.09,245172.29,183510.27,74594756.04,6070482.62,76089728.27,ND,13330348.37
SOL & CIELO ENERGIA SAS ESP,factura promedio,6231636,1772192,777558.13,1175223.78,369250.55,1229633.81,1310000.66,14248926.93,4578429,2838118.34,ND,4486880.72
TERMOPIEDRAS S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
TERPEL ENERGIA S.A.S E.S.P,factura promedio,ND,9006743,ND,ND,ND,ND,9006743,9994478,24157820.3,ND,ND,24085187.78
Transacciones Energeticas S.A.S Empresa de Servicios Públicos E.S.P,factura promedio,ND,9043891,21879820.2,ND,ND,ND,12819164.29,18232007.28,11389583.52,12298633.5,ND,11915271.16
VATIA S.A.S. E.S.P.,factura promedio,4349097.73,118550.48,149848.6,166561.61,207297.84,368492.53,209771.91,9549311.77,3929344.92,12084102.58,3237731.47,4654303.13
VOLTAJE EMPRESARIAL SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
,,,,,,,,,,,,,
Año,2025
Período,Abril
Ubicación,Urbano
Reporte a Consultar,Factura Promedio
