Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
ELECTRIFICADORA DEL META S.A. E.S.P.,factura promedio,90984.32,95156.29,106980.76,134580.65,168056.69,220355.55,100253.72,8893289.99,333919.11,2188664.99,1458533.86,515010.31
ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,factura promedio,93301.26,94368.81,96004.3,112091.17,130617.07,154321.11,99099.85,802866.02,375675.29,1385780.62,5542697.75,490533.04
EMPRESA DE ENERGIA DE ARAUCA,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS,factura promedio,72096.25,76146.15,75980.21,72341.76,82527.93,137117.94,75617.57,2173763.82,269705.2,727032.03,2176540.89,434379.55
EMPRESA DE ENERGIA DE CASANARE SA ESP,factura promedio,87714.16,101662.41,117896.67,146630.43,298419.67,ND,101160.73,4748666.83,411916.93,1776959.84,3679608.47,628636.06
EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,factura promedio,107580.79,135303.52,165641.88,ND,ND,ND,117781.62,947373.26,338942.47,1244202.28,6306864.15,446425.53
EMPRESA DE ENERGIA DEL PUTUMAYO S.A. ESP,factura promedio,71380.51,90543.75,86878.41,ND,ND,ND,76048.78,279791.49,169263.98,65251.81,2832238.88,427228.02
EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,factura promedio,75703.83,81958.48,86539.69,88331.1,93526.72,128221.15,83741.28,1031931.07,334509.38,918507.87,2116324.6,447250.27
EMPRESA DE ENERGIA DEL VALLE DE SIBUNDOY S.A. E.S.P. ,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.,factura promedio,82857.97,89299.06,94175.51,96229.25,107551.93,148047.63,95585.05,3991505.49,553040.68,2320460.92,3888489.02,873459.93
EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE SA ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DE SERVICIOS PUBLICOS DEL OCCIDENTE COLOMBIANO S.A.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P,factura promedio,77019.26,98195.61,124797.39,ND,ND,ND,79701.36,314177.85,448742.32,1720585.28,1686026.13,645336.66
EMPRESA MUNICIPAL DE ENERGÍA ELÉCTRICA S.A-E.S.P,factura promedio,27124.09,49702.64,122780.56,77905.6,ND,ND,56025.26,3484210.17,7151402.77,4892648,211617.73,3288354.68
EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,factura promedio,118556.49,112593.79,105969.33,107185.51,142902.36,254842.47,118202.65,7259987.46,802799.1,6789037.53,603840138.11,1274322.49
EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,factura promedio,88544.9,95669.12,102812.46,120285.72,142634.75,208437.31,103543.69,7436157.84,645098.26,2668367.09,8097243.43,1332645.33
ENEL COLOMBIA S.A. E.S.P.,factura promedio,93419.44,103364.68,96422.09,99682.35,139670.22,193493.85,103309.27,2355781.69,503975.24,2383868.32,93524449.17,799095.59
Enel X Colombia S.A.S. ESP,factura promedio,ND,5025555.5,3571084,ND,5709146,ND,5008097.4,27642884.2,9924753.86,12492163.26,ND,13739578.61
ENERBIT S.A.S E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ENERCO S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ENERMAS S.A.S E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ENERTOTAL S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ENERXIA COLOMBIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
FRANCA ENERGIA SA ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
FUENTES DE ENERGÍAS RENOVABLES S.A.S. ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
GAP ENERGY GROUP S.A.S ESP ,factura promedio,ND,ND,ND,ND,ND,ND,ND,228841375.9,ND,ND,ND,228841375.9
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A E.S.P,factura promedio,ND,173395397,ND,ND,ND,ND,173395397,852965937.86,771149855.5,509785949.8,ND,799198457.08
GENERSA S.A.S E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
GREENYELLOW COMERCIALIZADORA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ISAGEN S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,408922902.98,298111208.12,ND,ND,395071441.12
ITALCOL ENERGIA S.A. ESP.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
MESSER ENERGY SERVICES SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
NEU ENERGY SAS ESP,factura promedio,5546601.67,4868542.79,7944994.85,7425032.27,2007985.04,1290027.88,4040475.39,13270467.87,6192539.68,10466583.06,ND,8367119.18
PROFESIONALES EN ENERGÍA S.A E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
QI ENERGY SAS ESP,factura promedio,ND,203413,18247.86,554977.12,40101.5,463893,456713.61,7126299.32,2803199.14,19294289.31,57912814,3693735.99
RIOPAILA ENERGÍA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
RUITOQUE S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SOL & CIELO ENERGIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
TERMOPIEDRAS S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
TERPEL ENERGIA S.A.S E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,20678197.85,ND,ND,20678197.85
Transacciones Energeticas S.A.S Empresa de Servicios Públicos E.S.P,factura promedio,ND,16254044,18062206.8,ND,ND,ND,16706084.7,35834393.93,26057024.75,46596590.65,ND,27846561.04
VATIA S.A.S. E.S.P.,factura promedio,0,10307.75,1397760.01,378610.78,35895906.46,57911883.33,19209643.82,309770326.25,590511347.23,903826766.96,444207021.35,555299470.53
VOLTAJE EMPRESARIAL SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
,,,,,,,,,,,,,
Año,2026
Período,Marzo
Ubicación,Urbano
Reporte a Consultar,Factura Promedio
