Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS,factura promedio,79222.38,84092.57,82149.75,76417.59,85000.87,156193.06,82525.51,2550029.98,288101.59,804179.07,2142157.59,462074.28
EMPRESA DE ENERGIA DE CASANARE SA ESP,factura promedio,105275.62,124464.25,141176.01,173032.97,338723.5,ND,122405.54,3970569.38,471617.36,1567678.31,4464093.94,691891.75
EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,factura promedio,131266.64,163198.27,199191.18,ND,ND,ND,143106.79,1382743.83,413138.08,1426042.82,5884463.48,533210.33
EMPRESA DE ENERGIA DEL PUTUMAYO S.A. ESP,factura promedio,75237.04,96720.98,93589.88,ND,ND,ND,80586.86,173916.29,292837.29,1178070.24,2954237.03,393262.6
EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,factura promedio,89416.45,99006.58,103481.41,116765.81,123535.16,171712.36,102279.54,1479531.68,437139.05,1036408.85,2889453.16,579818.61
EMPRESA DE ENERGIA DEL VALLE DE SIBUNDOY S.A. E.S.P. ,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.,factura promedio,79274.1,85613.38,90809.6,92867.23,104472.1,145196.43,92118.64,4004266.89,507196.78,1897427.67,4944613.7,833804.43
EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE SA ESP,factura promedio,122529.51,144047.59,177060.31,159020.64,ND,ND,135551.64,2189380.33,442191.68,2224424.5,62762.5,645668.98
EMPRESA DE SERVICIOS PUBLICOS DEL OCCIDENTE COLOMBIANO S.A.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P,factura promedio,99578.72,128344.24,155037.73,ND,ND,ND,103049.18,363528.72,551931.07,2289822.8,2107576.5,818882.56
EMPRESA MUNICIPAL DE ENERGÍA ELÉCTRICA S.A-E.S.P,factura promedio,12496.77,40918.95,142327.25,97921.18,ND,ND,54914.7,9766933.44,3139555.33,482337.13,ND,4107781.57
EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,factura promedio,122811.26,126449.82,121434.75,125884.16,164423.28,291421.95,132862.35,6158240.16,871240.83,9733555.53,975449740.12,1428766.24
EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,factura promedio,94841.08,105510.52,114159.33,129633.64,149191.19,220014.25,112977.9,7283848.66,678040.25,2435535.24,5955891.31,1335719.22
ENEL COLOMBIA S.A. E.S.P.,factura promedio,94427.14,104892.98,98153.53,104070.06,136747.25,192073.97,105045.67,2385922.64,539344.69,3295702.29,104562321.92,860825.79
Enel X Colombia S.A.S. ESP,factura promedio,ND,6290679.33,ND,ND,ND,ND,6290679.33,31537463.79,14536224.59,21012925.9,ND,18732473.7
ENERBIT S.A.S E.S.P.,factura promedio,11594.65,118296.87,36646.18,72474.3,192068.13,387361.56,114267.46,5701399.09,1759439.13,4068649.18,ND,2106706.56
ENERMAS S.A.S E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ENERTOTAL S.A. E.S.P.,factura promedio,82754.02,203315.47,216325.29,113385.52,135488.15,270642.76,153474.85,6671836.44,2079812.08,7980393.31,ND,3141452.19
ENERXIA COLOMBIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
FRANCA ENERGIA SA ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,986911778,ND,ND,ND,986911778
FUENTES DE ENERGÍAS RENOVABLES S.A.S. ESP,factura promedio,ND,ND,15784302.5,ND,ND,ND,15784302.5,44496052.79,43967516.86,19611505,ND,43702044.47
GAP ENERGY GROUP S.A.S ESP ,factura promedio,ND,ND,ND,ND,ND,ND,ND,246869190.3,ND,ND,ND,246869190.3
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A E.S.P,factura promedio,ND,204602756,ND,ND,ND,ND,204602756,866078476.72,467493328,584522979,ND,757291864.72
GENERSA S.A.S E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
GREENYELLOW COMERCIALIZADORA SAS ESP,factura promedio,ND,31658830,ND,ND,ND,ND,31658830,33088079,31044764.42,32490681,ND,31315330.86
ISAGEN S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,309562907.73,318770923.76,ND,ND,310713909.74
ITALCOL ENERGIA S.A. ESP.,factura promedio,ND,ND,ND,ND,ND,ND,ND,213218232,75698825,547644710,ND,207637393.21
MESSER ENERGY SERVICES SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,1513317583,19221631,ND,ND,766269607
NEU ENERGY SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
PROFESIONALES EN ENERGÍA S.A E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,4730315.67,ND,ND,ND,4730315.67
QI ENERGY SAS ESP,factura promedio,ND,ND,15419.29,545837.6,ND,130271.33,428031.54,6144192.56,1900262.12,14690363.6,42368574,2509729.24
RIOPAILA ENERGÍA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
RUITOQUE S.A. E.S.P.,factura promedio,ND,ND,ND,162847.56,141935.67,206438.85,156399.95,68873825.62,5295582.26,63547789.4,ND,11563917.48
SOL & CIELO ENERGIA SAS ESP,factura promedio,3164158,1233060.57,416318.81,463648.56,209724.36,627600.9,717241.18,2027555.86,2230377.71,543712.79,ND,1491295.57
TERMOPIEDRAS S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
TERPEL ENERGIA S.A.S E.S.P,factura promedio,ND,6985452,ND,ND,ND,ND,6985452,11228253.4,20783775.52,ND,ND,20541249.57
Transacciones Energeticas S.A.S Empresa de Servicios Públicos E.S.P,factura promedio,ND,12052715.92,24699278.4,ND,ND,ND,15772293.12,21931491.22,13500079.76,13401554.43,ND,14103481.73
VATIA S.A.S. E.S.P.,factura promedio,2388286.1,140605.36,101909.82,121411.41,124947.41,151134.38,126525.3,2832982.14,3654320.24,10037341.1,3327430.42,3436078.01
VOLTAJE EMPRESARIAL SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
,,,,,,,,,,,,,
Año,2025
Período,Febrero
Ubicación,Urbano
Reporte a Consultar,Factura Promedio
