Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
DICELER S.A E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
DRUMMOND POWER S.A.S .ES.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ELECTRIFICADORA DEL CAQUETA S.A. E.S.P,factura promedio,91540.11,108212.97,127075.12,195149.45,ND,ND,99515.22,4848100.33,568991.15,2559201.17,48793401.69,832860.99
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,factura promedio,90535.19,111107.08,124741.75,195385.41,256241.37,242026.03,110697.05,2665934.13,498292.12,1366573.22,1723686.08,647511.25
ELECTRIFICADORA DEL META S.A. E.S.P.,factura promedio,95097.18,98392.04,107251.73,134017.13,165621.37,214983.1,102666.9,6761455.35,331070.89,1971627.86,1406749.8,516608.35
ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,factura promedio,95425.04,99949.02,101452.52,116720.15,132881.97,158144.21,103586.83,801513.93,385494.28,1207413.98,5723211.88,491991.38
EMPRESA DE ENERGIA DE ARAUCA,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DE ENERGIA DE BOYACA S.A. E.S.P. EMPRESA DE SERVICIOS PUBLICOS,factura promedio,77436.63,83083.48,81642.57,75913.19,86314.15,137184.7,81698.6,2129379.89,283473.6,701701.03,1993562.46,438949.93
EMPRESA DE ENERGIA DE CASANARE SA ESP,factura promedio,94716.6,109509.78,123550.2,152386.81,304225.92,ND,108268.85,4585702.36,431311.24,1404736.75,3947133.4,630226.86
EMPRESA DE ENERGIA DEL BAJO PUTUMAYO  S.A.  E.S.P.,factura promedio,115494.27,142518.49,175242.97,ND,ND,ND,125523.22,957561.47,361426.96,1253077.95,7587230,477670.28
EMPRESA DE ENERGIA DEL PUTUMAYO S.A. ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,factura promedio,81617.71,90193.68,94216.76,108673.45,110292.7,150019.23,93196.42,1161162.1,375990.86,886076.25,2189250.25,495440.41
EMPRESA DE ENERGIA DEL VALLE DE SIBUNDOY S.A. E.S.P. ,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DE ENERGÍA DE PEREIRA S.A. ESP.,factura promedio,75898.01,81764.96,86278.9,88039.05,98305.76,140921.48,87787.97,3780615.74,529707.68,2016067.43,3814186.93,829758.65
EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE SA ESP,factura promedio,116415.68,132218.7,158282.74,222236,ND,ND,126216.01,1938290.16,384211.85,1936413.46,19351.6,558110.05
EMPRESA DE SERVICIOS PUBLICOS DEL OCCIDENTE COLOMBIANO S.A.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. E.S.P,factura promedio,78813.44,98443.56,126237.04,ND,ND,ND,81391.13,314420.9,448441.25,1665169.14,1744810.48,642584.52
EMPRESA MUNICIPAL DE ENERGÍA ELÉCTRICA S.A-E.S.P,factura promedio,41541.48,57535.11,152588.81,90039.05,ND,ND,66780.44,3356600.16,7633620,5774590,256641.86,3269593.03
EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,factura promedio,115196.47,108110.94,105048.54,100547.6,134084.36,238474.27,113853.04,5869910.32,747517.08,7574704.86,748550234.75,1200802.95
EMPRESAS PÚBLICAS DE MEDELLIN E.S.P.,factura promedio,90178.77,100055.22,108001.09,122285.01,140654.22,199939.12,106834.3,7405760.31,638882.32,2542864.11,8334825.38,1322224.57
ENEL COLOMBIA S.A. E.S.P.,factura promedio,86204.44,96193.04,88958.28,94395.08,124114.14,174359.9,95656,2241757.99,461177.59,2280131.15,91388083.96,745708.91
Enel X Colombia S.A.S. ESP,factura promedio,ND,4925666.5,2763809,ND,14683613,ND,6824688.75,25956229.72,9891658.33,11918396.28,ND,13292610.62
ENERBIT S.A.S E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ENERCO S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ENERMAS S.A.S E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ENERTOTAL S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ENERXIA COLOMBIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
FRANCA ENERGIA SA ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
FUENTES DE ENERGÍAS RENOVABLES S.A.S. ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
GAP ENERGY GROUP S.A.S ESP ,factura promedio,ND,ND,ND,ND,ND,ND,ND,235730790.2,ND,ND,ND,235730790.2
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A E.S.P,factura promedio,ND,179089447,ND,ND,ND,ND,179089447,1124838719.21,917100922.25,543788633.4,ND,1026517624.03
GENERSA S.A.S E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
GREENYELLOW COMERCIALIZADORA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
ISAGEN S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,415151665.56,308702720.94,104089977,ND,400449148.75
ITALCOL ENERGIA S.A. ESP.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
MESSER ENERGY SERVICES SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
NEU ENERGY SAS ESP,factura promedio,5851143.67,5687821.71,8603527.85,14440318.73,2396314.09,1403002.06,5308444.73,13799100.94,7016788.48,9842384.61,ND,8900532.16
PROFESIONALES EN ENERGÍA S.A E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
QI ENERGY SAS ESP,factura promedio,ND,153176,15541.29,448184.55,31061.5,409494.75,368323.13,6204877.71,2331162.27,16387066.68,50434499.5,3105596.09
RIOPAILA ENERGÍA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
RUITOQUE S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
SOL & CIELO ENERGIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
TERMOPIEDRAS S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
TERPEL ENERGIA S.A.S E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
Transacciones Energeticas S.A.S Empresa de Servicios Públicos E.S.P,factura promedio,ND,16644598.81,20447440.2,ND,ND,ND,17550037.24,40406026.52,28234440.53,51429150.9,ND,30331084.18
VATIA S.A.S. E.S.P.,factura promedio,1772445.6,73404.94,131356.33,153173.05,194494.25,362591.98,192858.98,7328545.62,3607566.12,9216733.48,3195020.14,4172748.91
VOLTAJE EMPRESARIAL SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
,,,,,,,,,,,,,
Año,2026
Período,Febrero
Ubicación,Urbano
Reporte a Consultar,Factura Promedio
