Empresa,Variable Calculada,Estrato 1,Estrato 2,Estrato 3,Estrato 4,Estrato 5,Estrato 6,Total Residencial,Industrial,Comercial,Oficial,Otros,Total No Residencial
PROFESIONALES EN ENERGÍA S.A E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
QI ENERGY SAS ESP,factura promedio,ND,ND,6896.86,378492.98,ND,ND,291490.64,5545037.14,1275734.74,15829644.56,41469805,2032736.49
RIOPAILA ENERGÍA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
RUITOQUE S.A. E.S.P.,factura promedio,ND,ND,ND,117964.08,159650.24,234805.55,166655.21,67420582.56,7184600.51,68885984.62,ND,14391841.07
SOL & CIELO ENERGIA SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
TERMOPIEDRAS S.A. E.S.P.,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
TERPEL ENERGIA S.A.S E.S.P,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,24153096,4727370,ND,24053985.15
Transacciones Energeticas S.A.S Empresa de Servicios Públicos E.S.P,factura promedio,ND,8736616.33,20915462.8,ND,ND,ND,12318630,14805600.23,10413389.32,7591413.56,ND,10650033.17
VATIA S.A.S. E.S.P.,factura promedio,1982865.2,126697.61,156844.61,180330.46,227368.82,407355.93,226563.03,9437564.81,3762838.89,10506774.49,3380364.35,4495185.45
VOLTAJE EMPRESARIAL SAS ESP,factura promedio,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
,,,,,,,,,,,,,
Año,2025
Período,Agosto
Ubicación,Urbano
Reporte a Consultar,Factura Promedio
